2026-09-07T20:11:10.907+0000	connected to: mongodb://localhost/
2026-09-07T20:11:13.907+0000	[........................] companiesdb.companies	19.3MB/1.86GB (1.0%)
2026-09-07T20:11:16.907+0000	[........................] companiesdb.companies	35.3MB/1.86GB (1.9%)
2026-09-07T20:11:19.907+0000	[........................] companiesdb.companies	52.3MB/1.86GB (2.7%)
2026-09-07T20:11:22.907+0000	[........................] companiesdb.companies	69.8MB/1.86GB (3.7%)
2026-09-07T20:11:25.907+0000	[#.......................] companiesdb.companies	86.7MB/1.86GB (4.5%)
2026-09-07T20:11:28.907+0000	[#.......................] companiesdb.companies	104MB/1.86GB (5.5%)
2026-09-07T20:11:31.907+0000	[#.......................] companiesdb.companies	124MB/1.86GB (6.5%)
2026-09-07T20:11:34.907+0000	[#.......................] companiesdb.companies	142MB/1.86GB (7.5%)
2026-09-07T20:11:37.907+0000	[#.......................] companiesdb.companies	159MB/1.86GB (8.3%)
2026-09-07T20:11:40.905+0000	[##......................] companiesdb.companies	177MB/1.86GB (9.3%)
2026-09-07T20:11:43.905+0000	[##......................] companiesdb.companies	197MB/1.86GB (10.3%)
2026-09-07T20:11:46.905+0000	[##......................] companiesdb.companies	214MB/1.86GB (11.2%)
2026-09-07T20:11:49.905+0000	[##......................] companiesdb.companies	230MB/1.86GB (12.1%)
2026-09-07T20:11:52.905+0000	[###.....................] companiesdb.companies	249MB/1.86GB (13.0%)
2026-09-07T20:11:55.905+0000	[###.....................] companiesdb.companies	262MB/1.86GB (13.7%)
2026-09-07T20:11:58.905+0000	[###.....................] companiesdb.companies	278MB/1.86GB (14.6%)
2026-09-07T20:12:01.905+0000	[###.....................] companiesdb.companies	295MB/1.86GB (15.4%)
2026-09-07T20:12:04.905+0000	[###.....................] companiesdb.companies	311MB/1.86GB (16.3%)
2026-09-07T20:12:07.905+0000	[####....................] companiesdb.companies	328MB/1.86GB (17.2%)
2026-09-07T20:12:10.903+0000	[####....................] companiesdb.companies	345MB/1.86GB (18.1%)
2026-09-07T20:12:13.903+0000	[####....................] companiesdb.companies	362MB/1.86GB (18.9%)
2026-09-07T20:12:16.902+0000	[####....................] companiesdb.companies	379MB/1.86GB (19.9%)
2026-09-07T20:12:19.902+0000	[####....................] companiesdb.companies	395MB/1.86GB (20.7%)
2026-09-07T20:12:22.903+0000	[#####...................] companiesdb.companies	416MB/1.86GB (21.8%)
2026-09-07T20:12:25.903+0000	[#####...................] companiesdb.companies	435MB/1.86GB (22.8%)
2026-09-07T20:12:28.903+0000	[#####...................] companiesdb.companies	452MB/1.86GB (23.7%)
2026-09-07T20:12:31.902+0000	[#####...................] companiesdb.companies	470MB/1.86GB (24.6%)
2026-09-07T20:12:34.902+0000	[######..................] companiesdb.companies	488MB/1.86GB (25.6%)
2026-09-07T20:12:37.903+0000	[######..................] companiesdb.companies	507MB/1.86GB (26.6%)
2026-09-07T20:12:40.900+0000	[######..................] companiesdb.companies	525MB/1.86GB (27.5%)
2026-09-07T20:12:43.900+0000	[######..................] companiesdb.companies	542MB/1.86GB (28.4%)
2026-09-07T20:12:46.901+0000	[#######.................] companiesdb.companies	558MB/1.86GB (29.3%)
2026-09-07T20:12:49.900+0000	[#######.................] companiesdb.companies	575MB/1.86GB (30.2%)
2026-09-07T20:12:52.900+0000	[#######.................] companiesdb.companies	593MB/1.86GB (31.1%)
